feature_names,coef,coef_as_percent,pvalues,confidence_lower,confidence_upper,std_error,rsquared,adj_rsquared,year
Age9_7,-1.0348613304402086,-64.47243565736535,0.0075172306484523315,-1.7935988154378155,-0.2761238454426016,0.3870698899007584,0.15793496969465537,0.15386493098380072,2019/20
Eth7_1,-0.36336363879855865,-30.466646273164876,1.4065631967622378e-07,-0.49856309663302795,-0.22816418096408936,0.0689719966304226,0.15793496969465537,0.15386493098380072,2019/20
Eth7_2,-1.1471922604014269,-68.24729477688594,7.852406928533591e-49,-1.2994544742506078,-0.9949300465522459,0.07767656075517883,0.15793496969465537,0.15386493098380072,2019/20
Eth7_3,-0.903115576190512,-59.46950678105109,3.0410036949356562e-15,-1.1271451479819823,-0.6790860043990417,0.11428867480840489,0.15793496969465537,0.15386493098380072,2019/20
Eth7_4,-0.7865485425526133,-54.45860723799609,5.0951539021304175e-06,-1.1244112161921267,-0.4486858689130998,0.17236062600444055,0.15793496969465537,0.15386493098380072,2019/20
Eth7_5,-0.20827539903595993,-18.801661352502798,0.14200868981322393,-0.4862945863019074,0.06974378822998756,0.14183147443370092,0.15793496969465537,0.15386493098380072,2019/20
Eth7_6,-1.1115435974012517,-67.09493528637186,7.493853460762534e-14,-1.4024504893610832,-0.8206367054414203,0.14840613633662625,0.15793496969465537,0.15386493098380072,2019/20
IMD10_1,0.027085674515776086,2.7455825773125664,0.8183003732686627,-0.2040193565393259,0.2581907055708781,0.11789821999672498,0.15793496969465537,0.15386493098380072,2019/20
IMD10_2,0.14282408142361172,15.352685701315515,0.24292720180172572,-0.09691860738053498,0.3825667702277584,0.12230472066399294,0.15793496969465537,0.15386493098380072,2019/20
IMD10_3,0.28290608989630084,32.69805390855496,0.02339000318637113,0.03832454920317446,0.5274876305894272,0.1247732607123594,0.15793496969465537,0.15386493098380072,2019/20
IMD10_4,0.06919399252238914,7.164407992317412,0.5871820832805895,-0.18062013202626323,0.3190081170710415,0.1274426631037034,0.15793496969465537,0.15386493098380072,2019/20
IMD10_5,0.24429578812269043,27.672191382245636,0.07064496011124,-0.020573373213645163,0.509164949459026,0.13512298936553133,0.15793496969465537,0.15386493098380072,2019/20
IMD10_6,0.36004355379789144,43.339184285945876,0.0076380893058158005,0.09553748564835385,0.624549621947429,0.13493775739450506,0.15793496969465537,0.15386493098380072,2019/20
IMD10_7,0.22800619562413585,25.609310768901096,0.09506411536789572,-0.03971344733247603,0.4957258385807477,0.13657716242108817,0.15793496969465537,0.15386493098380072,2019/20
IMD10_8,0.3076102526666916,36.01707626891268,0.027195179088113752,0.03464985651743013,0.5805706488159531,0.13925073239935587,0.15793496969465537,0.15386493098380072,2019/20
IMD10_9,0.6239428599083109,86.627200328635,0.00011385607791550936,0.30713516340114,0.9407505564154818,0.16161943047684046,0.15793496969465537,0.15386493098380072,2019/20
Child4_1,-0.10693862671925448,-10.141917984904525,0.4091192784934946,-0.36087803403016244,0.1470007805916535,0.12954717589787593,0.15793496969465537,0.15386493098380072,2019/20
Child4_2,0.015528929093124554,1.5650129470497376,0.9129827133718134,-0.2630211067717041,0.29407896495795316,0.14210228681978404,0.15793496969465537,0.15386493098380072,2019/20
Child4_3,-0.2825584341767844,-24.61474100832476,0.12880886864200328,-0.647201868194098,0.0820849998405292,0.18602282956741117,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_1,0.048779606285560835,4.998891428045615,0.5499855791370418,-0.11116980471821719,0.20872901728933885,0.08159818399788009,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_2,-0.06646925359825882,-6.430831543349913,0.5964679065319594,-0.3125364081820329,0.17959790098551526,0.12553114656413045,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_3,-0.15046301051834807,-13.969044817674458,0.19989276783614907,-0.38053447721731326,0.07960845618061713,0.1173709471923024,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_4,-0.20055909532842245,-18.172686752260926,0.15211381304347943,-0.47505484725933167,0.07393665660248674,0.1400339940743247,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_5,-1.0330545467364658,-64.40818700884998,1.7333578257540734e-06,-1.4562350902562993,-0.6098740032166322,0.21588553304293606,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_6,0.9759822002149652,165.37724672193156,6.816073088869661e-09,0.6461639096179033,1.305800490812027,0.16825678439897265,0.15793496969465537,0.15386493098380072,2019/20
WorkStat8_7,0.10879900066435538,11.493822597507219,0.42394242839277313,-0.1579088618521211,0.3755068631808319,0.13606100268032068,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_1,0.3645786734520314,43.99072091940941,0.001139954792061016,0.14498787069218744,0.5841694762118753,0.11202423700964244,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_2,-0.28849119591706573,-25.060659715987164,0.03274490693283513,-0.5533013621124614,-0.02368102972167002,0.13509289299734104,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_3,0.17013915466366292,18.546980349495513,0.017836247061411563,0.029382964477402018,0.3108953448499238,0.07180676336087186,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_4,-0.17000765087047864,-15.634163814916324,0.24949597138186508,-0.45937705589382427,0.11936175415286698,0.14762178745312368,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_5,0.1423406222485341,15.296930865722768,0.2175656834123376,-0.08393109665065099,0.36861234114771924,0.11543250604290253,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_6,-0.35996585902853373,-30.229985417481544,0.15130935008855168,-0.8516667991526881,0.13173508109562054,0.25084120993251846,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_7,0.04902768640760265,5.024942797125154,0.7007763407857658,-0.2010593652435152,0.29911473805872046,0.12758189685133162,0.15793496969465537,0.15386493098380072,2019/20
HHLiv9_8,-0.1797783544324123,-16.454463413005605,0.24755513343644164,-0.4845256557678546,0.12496894690303001,0.15546682048513122,0.15793496969465537,0.15386493098380072,2019/20
const,5.921811622666623,37208.69948708463,4.0945764950670026e-128,5.4453511124049,6.398272132928346,0.2430730026085082,0.1487947473771406,0.14559114016435426,2020/21
Disab2_POP,0.28507861375533594,32.98665698173613,5.0210867504556283e-05,0.147309925424595,0.4228473020860769,0.0702846259380318,0.1487947473771406,0.14559114016435426,2020/21
Educ6,-0.19033496920877713,-17.33178255143908,4.060149100531524e-24,-0.22708783788771963,-0.15358210052983462,0.018749990716669163,0.1487947473771406,0.14559114016435426,2020/21
NSSEC5,-0.264862194677687,-23.268831767585464,6.862485237534242e-14,-0.334093752464887,-0.19563063689048704,0.035319448861260795,0.1487947473771406,0.14559114016435426,2020/21
Motiva_POP,-0.6910990027667852,-49.897486162897074,1.2400712409021395e-186,-0.7368038288068494,-0.645394176726721,0.02331695714542087,0.1487947473771406,0.14559114016435426,2020/21
motivd_POP,0.0375790045553598,3.829402379922331,0.10700171022264436,-0.00811806721000332,0.08327607632072292,0.023313001193575836,0.1487947473771406,0.14559114016435426,2020/21
Gend3_1,0.010318750789248737,1.0372172689151027,0.8247973278542693,-0.08104453945628072,0.1016820410347782,0.0466102621515779,0.1487947473771406,0.14559114016435426,2020/21
Gend3_2,0.14610621417103253,15.731910521228865,0.7550688566401549,-0.7719021470502329,1.0641145753922978,0.4683348230878464,0.1487947473771406,0.14559114016435426,2020/21
Age9_1,-0.07537668770682812,-7.260591742565592,0.5125541618424394,-0.3009888471915344,0.1502354717778782,0.11509920308151687,0.1487947473771406,0.14559114016435426,2020/21
Age9_2,-0.05798597345620446,-5.633681632305699,0.6351677418391399,-0.2975367171723823,0.18156477025997333,0.12221016705079583,0.1487947473771406,0.14559114016435426,2020/21
Age9_3,0.11296162501346718,11.958896791263406,0.3641290800167816,-0.13101404753804433,0.3569372975649787,0.1244676064716257,0.1487947473771406,0.14559114016435426,2020/21
Age9_4,0.15532188030342778,16.80338676991642,0.22731375151066358,-0.0968423994751674,0.407486160082023,0.1286451391380278,0.1487947473771406,0.14559114016435426,2020/21
Age9_5,-0.18393126751829922,-16.800701319577406,0.2138826879976992,-0.4739770654944946,0.10611453045789618,0.1479709262144878,0.1487947473771406,0.14559114016435426,2020/21
Age9_6,0.33250935136352144,39.44629392538099,0.11400754930764949,-0.07986089347141495,0.7448795961984578,0.21037645605377314,0.1487947473771406,0.14559114016435426,2020/21
Age9_7,-0.9540952585344149,-61.48395424005151,0.0010102535320446458,-1.5228079667450976,-0.38538255032373214,0.2901367534750186,0.1487947473771406,0.14559114016435426,2020/21
Eth7_1,-0.2606017528526618,-22.94122571143442,3.354333983589432e-05,-0.3837061015296567,-0.13749740417566694,0.0628034076751603,0.1487947473771406,0.14559114016435426,2020/21
Eth7_2,-0.9276019138515654,-60.449898043019346,7.805940528830743e-40,-1.0647725200763682,-0.7904313076267627,0.06997950597495874,0.1487947473771406,0.14559114016435426,2020/21
Eth7_3,-0.8366594648848538,-56.684492095678706,3.969455486544219e-17,-1.0312951051101524,-0.6420238246595551,0.09929609792468347,0.1487947473771406,0.14559114016435426,2020/21
Eth7_4,-0.970855688997081,-62.12412003378689,1.5933844966660533e-10,-1.26813275559187,-0.673578622402292,0.151660059181299,0.1487947473771406,0.14559114016435426,2020/21
Eth7_5,-0.03009760548721692,-2.9649182638126326,0.8034486894377664,-0.26713224040207173,0.20693702942763792,0.1209265389052202,0.1487947473771406,0.14559114016435426,2020/21
Eth7_6,-0.6496929210340394,-47.779388934534886,1.4020061514880679e-06,-0.9135174416371793,-0.38586840043089954,0.13459377430782077,0.1487947473771406,0.14559114016435426,2020/21
IMD10_1,-0.19720124368773212,-17.897460949112777,0.3157158988779523,-0.5824589759063364,0.1880564885308722,0.19654462800512165,0.1487947473771406,0.14559114016435426,2020/21
IMD10_2,-0.025765491621894232,-2.543639385618124,0.8943540194845272,-0.40607036448739803,0.35453938124360956,0.19401785743646643,0.1487947473771406,0.14559114016435426,2020/21
