LCA_Class,t,MEMS_actual,MEMS_sarima,period
5,0,646.266975308642,,train
5,1,655.8407534246576,,train
5,2,764.2949101796407,,train
5,3,530.7428571428571,,train
5,4,455.48809523809524,,train
5,5,766.161858974359,,train
5,6,881.6298701298701,,train
5,7,728.7916666666666,,train
5,8,548.6421232876712,,train
5,9,819.6390625,,train
5,10,732.2455882352941,,train
5,11,520.5704545454546,,train
5,12,575.1808035714286,,train
5,13,678.2481343283582,,train
5,14,821.1755319148937,,train
5,15,597.0376712328767,,train
5,16,534.0307692307692,,train
5,17,913.8894230769231,,train
5,18,781.1281512605042,,train
5,19,629.6702586206897,,train
5,20,825.4292168674699,,train
5,21,723.6368243243244,,train
5,22,758.7086206896552,,train
5,23,585.1608527131783,,train
5,24,775.2230215827338,,train
5,25,815.7883064516129,,train
5,26,908.1830985915493,,train
5,27,589.0170454545455,,train
5,28,589.0170454545455,776.0146489416778,forecast
5,29,,811.9818051358213,forecast
5,30,,833.740017846058,forecast
5,31,,630.1949179205722,forecast
5,32,,797.0458993189092,forecast
5,33,,836.9053501733408,forecast
5,34,,889.5640453934632,forecast
5,35,,635.1875230280851,forecast
5,36,,810.8969703253249,forecast
5,37,,849.0448491378058,forecast
5,38,,888.1147091882721,forecast
5,39,,656.0918627479382,forecast
5,40,,827.905702509669,forecast
5,41,,866.8062638920051,forecast
5,42,,911.8519631369303,forecast
5,43,,669.9988427197127,forecast
6,0,565.1679104477612,,train
6,1,661.2686567164179,,train
6,2,690.4473684210526,,train
6,3,600.4423076923077,,train
6,4,614.7392857142858,,train
6,5,673.4850746268656,,train
6,6,927.7692307692307,,train
6,7,806.0595238095239,,train
6,8,557.116935483871,,train
6,9,535.6232876712329,,train
6,10,690.9011627906976,,train
6,11,383.37280701754383,,train
6,12,413.46590909090907,,train
6,13,516.6360759493671,,train
6,14,708.59375,,train
6,15,1268.05,,train
6,16,508.98333333333335,,train
6,17,714.6342592592592,,train
6,18,559.7129629629629,,train
6,19,565.1009615384615,,train
6,20,697.6179245283018,,train
6,21,944.4767441860465,,train
6,22,804.0,,train
6,23,753.324074074074,,train
6,24,536.2329545454545,,train
6,25,824.3306451612904,,train
6,26,556.2822580645161,,train
6,27,829.9423076923077,,train
6,28,829.9423076923077,629.3722654980202,forecast
6,29,,813.5678976805788,forecast
6,30,,745.9089864298367,forecast
6,31,,786.9143611875334,forecast
6,32,,606.4189004473477,forecast
6,33,,833.4306464731867,forecast
6,34,,689.5893289168018,forecast
6,35,,819.5165604616593,forecast
6,36,,631.3574483607449,forecast
6,37,,842.0133181576126,forecast
6,38,,727.2750590706397,forecast
6,39,,823.2326248084182,forecast
6,40,,638.0011599860512,forecast
6,41,,854.9052551454165,forecast
6,42,,729.0491285857436,forecast
6,43,,837.9836892832045,forecast
7,0,552.3116740088105,,train
7,1,828.8983516483516,,train
7,2,907.6206140350877,,train
7,3,739.7272727272727,,train
7,4,629.9626865671642,,train
7,5,902.4398395721926,,train
7,6,884.4357541899441,,train
7,7,728.8495145631068,,train
7,8,737.3197969543147,,train
7,9,726.0189189189189,,train
7,10,876.85,,train
7,11,692.0539568345324,,train
7,12,588.0523255813954,,train
7,13,747.5815217391304,,train
7,14,967.6186131386861,,train
7,15,696.2156862745098,,train
7,16,697.5336134453781,,train
7,17,898.7758620689655,,train
7,18,1026.9733333333334,,train
7,19,837.5322966507177,,train
7,20,746.3967889908257,,train
7,21,832.3735795454545,,train
7,22,919.2873134328358,,train
7,23,932.8961038961039,,train
7,24,812.2350917431193,,train
7,25,979.7255434782609,,train
7,26,1072.4657676348547,,train
7,27,779.7148876404494,,train
7,28,779.7148876404494,781.3259290047336,forecast
7,29,,944.2241029269444,forecast
7,30,,1051.82921006484,forecast
7,31,,887.835249213244,forecast
7,32,,812.8289272492385,forecast
7,33,,975.6436871489318,forecast
7,34,,1081.577575071715,forecast
7,35,,903.1569866013791,forecast
7,36,,836.735259338051,forecast
7,37,,999.559365360002,forecast
7,38,,1105.6805050994592,forecast
7,39,,928.8763486365634,forecast
7,40,,861.4927601530112,forecast
7,41,,1024.3158189883595,forecast
7,42,,1130.4159780913214,forecast
7,43,,953.4307084463483,forecast
8,0,898.2536231884058,,train
8,1,1065.8538961038962,,train
8,2,1098.876811594203,,train
8,3,895.515873015873,,train
8,4,999.296875,,train
8,5,1035.9958333333334,,train
8,6,794.0376712328767,,train
8,7,1080.8818181818183,,train
8,8,865.7838983050848,,train
8,9,1161.423076923077,,train
8,10,1111.7121212121212,,train
8,11,905.3395522388059,,train
8,12,773.8068181818181,,train
8,13,757.860655737705,,train
8,14,873.4318181818181,,train
8,15,772.8359375,,train
8,16,728.6046511627907,,train
8,17,894.7201492537314,,train
8,18,766.1065573770492,,train
8,19,643.9554794520548,,train
8,20,795.8472222222222,,train
8,21,1081.9414893617022,,train
8,22,1451.7545454545455,,train
8,23,1259.75,,train
8,24,950.5612244897959,,train
8,25,964.6383928571429,,train
8,26,910.1822033898305,,train
8,27,990.9722222222222,,train
8,28,990.9722222222222,1027.3570050986204,forecast
8,29,,1225.7884104321988,forecast
8,30,,1302.8086684349691,forecast
8,31,,1163.7741941318434,forecast
8,32,,1045.514512822619,forecast
8,33,,1161.4414957922563,forecast
8,34,,1179.6183100618514,forecast
8,35,,1138.9353399536874,forecast
8,36,,1089.8613783663068,forecast
8,37,,1242.6939331591973,forecast
8,38,,1287.1888641287974,forecast
8,39,,1202.4847538593363,forecast
8,40,,1122.4403340843974,forecast
8,41,,1258.7466818505927,forecast
8,42,,1291.4529322503315,forecast
