LCA_Class,t,MEMS_actual,MEMS_sarima,period
19,7,460.4522900763359,,train
19,8,536.6370370370371,,train
19,9,527.2738095238095,,train
19,10,668.1228813559322,,train
19,11,454.4322916666667,,train
19,12,400.64814814814815,,train
19,13,563.9146341463414,,train
19,14,729.5121951219512,,train
19,15,456.2962962962963,,train
19,16,449.4859375,,train
19,17,694.7950450450451,,train
19,18,667.3508064516129,,train
19,19,722.7805755395683,,train
19,20,547.3922413793103,,train
19,21,453.0208333333333,,train
19,22,730.233870967742,,train
19,23,613.9043478260869,,train
19,24,549.746644295302,,train
19,25,624.343137254902,,train
19,26,677.1126237623762,,train
19,27,497.9455882352941,,train
19,28,497.9455882352941,549.4188705708717,forecast
19,29,,649.4467417012439,forecast
19,30,,720.0274163717927,forecast
19,31,,583.3594753293986,forecast
19,32,,556.9735794032812,forecast
19,33,,667.0975033332446,forecast
19,34,,737.653080132418,forecast
19,35,,603.234324956103,forecast
19,36,,572.8962823506819,forecast
19,37,,683.5324329526908,forecast
19,38,,754.0866254714143,forecast
19,39,,619.7817549101821,forecast
19,40,,589.2436202216818,forecast
