LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
2.0,9.0,120.0,2022 - 2023
2.0,9.0,285.0,2022 - 2023
2.0,9.0,1006.25,2022 - 2023
2.0,9.0,710.0,2022 - 2023
2.0,17.0,562.5,2022 - 2023
2.0,17.0,360.0,2022 - 2023
2.0,17.0,480.0,2022 - 2023
2.0,17.0,228.75,2022 - 2023
2.0,17.0,592.5,2022 - 2023
2.0,17.0,60.0,2022 - 2023
2.0,17.0,797.5,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,20.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,1586.0,2022 - 2023
2.0,17.0,225.0,2022 - 2023
2.0,17.0,1012.5,2022 - 2023
2.0,17.0,1115.0,2022 - 2023
2.0,17.0,260.0,2022 - 2023
2.0,17.0,60.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,30.0,2022 - 2023
2.0,17.0,585.0,2022 - 2023
2.0,17.0,540.0,2022 - 2023
2.0,17.0,1380.0,2022 - 2023
2.0,17.0,825.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,56.25,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,496.25,2022 - 2023
2.0,17.0,1830.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,75.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,1375.0,2022 - 2023
2.0,17.0,60.0,2022 - 2023
2.0,17.0,180.0,2022 - 2023
2.0,17.0,422.5,2022 - 2023
2.0,17.0,15.0,2022 - 2023
2.0,17.0,720.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,30.0,2022 - 2023
2.0,17.0,225.0,2022 - 2023
2.0,17.0,120.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,585.0,2022 - 2023
2.0,17.0,60.0,2022 - 2023
2.0,17.0,1200.0,2022 - 2023
2.0,17.0,562.5,2022 - 2023
2.0,17.0,615.0,2022 - 2023
2.0,17.0,270.0,2022 - 2023
2.0,30.0,675.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,1020.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,160.0,2022 - 2023
2.0,30.0,390.0,2022 - 2023
2.0,30.0,37.5,2022 - 2023
2.0,30.0,490.0,2022 - 2023
2.0,30.0,37.5,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,2625.0,2022 - 2023
2.0,30.0,1200.0,2022 - 2023
2.0,30.0,95.0,2022 - 2023
2.0,30.0,945.0,2022 - 2023
2.0,30.0,330.0,2022 - 2023
2.0,30.0,1462.5,2022 - 2023
2.0,30.0,975.0,2022 - 2023
2.0,30.0,405.0,2022 - 2023
2.0,30.0,230.0,2022 - 2023
2.0,30.0,420.0,2022 - 2023
2.0,30.0,315.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,115.0,2022 - 2023
2.0,30.0,57.5,2022 - 2023
2.0,30.0,142.5,2022 - 2023
2.0,30.0,1995.0,2022 - 2023
2.0,30.0,442.5,2022 - 2023
2.0,30.0,300.0,2022 - 2023
2.0,30.0,1500.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,760.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,1050.0,2022 - 2023
2.0,30.0,593.75,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,1057.5,2022 - 2023
2.0,30.0,420.0,2022 - 2023
2.0,30.0,375.0,2022 - 2023
2.0,30.0,480.0,2022 - 2023
2.0,30.0,140.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,3630.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,35.0,60.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,600.0,2022 - 2023
2.0,35.0,520.0,2022 - 2023
2.0,35.0,840.0,2022 - 2023
2.0,35.0,652.5,2022 - 2023
2.0,35.0,937.5,2022 - 2023
2.0,35.0,532.5,2022 - 2023
2.0,35.0,435.0,2022 - 2023
2.0,35.0,140.0,2022 - 2023
2.0,35.0,135.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,150.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,375.0,2022 - 2023
2.0,35.0,260.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,436.25,2022 - 2023
2.0,35.0,177.5,2022 - 2023
2.0,35.0,130.0,2022 - 2023
2.0,35.0,250.0,2022 - 2023
2.0,35.0,30.0,2022 - 2023
2.0,35.0,910.0,2022 - 2023
2.0,35.0,1380.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,105.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,780.0,2022 - 2023
2.0,35.0,30.0,2022 - 2023
2.0,35.0,405.0,2022 - 2023
2.0,35.0,135.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,1905.0,2022 - 2023
2.0,35.0,460.0,2022 - 2023
2.0,35.0,450.0,2022 - 2023
2.0,35.0,262.5,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,390.0,2022 - 2023
2.0,35.0,810.0,2022 - 2023
2.0,35.0,1387.5,2022 - 2023
1.0,44.0,127.5,2022 - 2023
1.0,44.0,1395.0,2022 - 2023
1.0,44.0,232.5,2022 - 2023
1.0,44.0,240.0,2022 - 2023
1.0,44.0,60.0,2022 - 2023
1.0,44.0,1426.25,2022 - 2023
1.0,44.0,191.25,2022 - 2023
1.0,44.0,392.5,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,150.0,2022 - 2023
1.0,44.0,1080.0,2022 - 2023
1.0,44.0,548.75,2022 - 2023
1.0,44.0,15.0,2022 - 2023
1.0,44.0,672.5,2022 - 2023
1.0,44.0,810.0,2022 - 2023
1.0,44.0,90.0,2022 - 2023
1.0,44.0,300.0,2022 - 2023
1.0,44.0,247.5,2022 - 2023
1.0,44.0,75.0,2022 - 2023
1.0,44.0,1117.5,2022 - 2023
1.0,44.0,261.0,2022 - 2023
1.0,44.0,30.0,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,72.5,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,1410.0,2022 - 2023
1.0,44.0,630.0,2022 - 2023
1.0,44.0,1395.0,2022 - 2023
1.0,44.0,645.0,2022 - 2023
1.0,44.0,210.0,2022 - 2023
1.0,44.0,1590.0,2022 - 2023
1.0,44.0,2940.0,2022 - 2023
1.0,44.0,2100.0,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,120.0,2022 - 2023
1.0,44.0,894.5,2022 - 2023
1.0,44.0,758.75,2022 - 2023
1.0,44.0,150.0,2022 - 2023
1.0,44.0,1200.0,2022 - 2023
2.0,68.0,292.5,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,67.5,2022 - 2023
2.0,68.0,37.5,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,300.0,2022 - 2023
2.0,68.0,300.0,2022 - 2023
2.0,68.0,1410.0,2022 - 2023
2.0,68.0,75.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,1455.0,2022 - 2023
2.0,68.0,652.5,2022 - 2023
2.0,68.0,1000.0,2022 - 2023
2.0,68.0,198.75,2022 - 2023
2.0,68.0,450.0,2022 - 2023
2.0,68.0,580.0,2022 - 2023
2.0,68.0,1316.25,2022 - 2023
2.0,68.0,735.0,2022 - 2023
2.0,68.0,67.5,2022 - 2023
2.0,68.0,540.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,840.0,2022 - 2023
2.0,68.0,262.5,2022 - 2023
2.0,68.0,525.0,2022 - 2023
2.0,68.0,135.0,2022 - 2023
2.0,68.0,630.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,1050.0,2022 - 2023
2.0,68.0,270.0,2022 - 2023
2.0,68.0,855.0,2022 - 2023
2.0,68.0,522.5,2022 - 2023
2.0,68.0,1035.0,2022 - 2023
2.0,68.0,405.0,2022 - 2023
2.0,68.0,767.5,2022 - 2023
2.0,68.0,665.0,2022 - 2023
2.0,78.0,129.75,2022 - 2023
2.0,78.0,210.0,2022 - 2023
2.0,78.0,150.0,2022 - 2023
2.0,78.0,90.0,2022 - 2023
2.0,78.0,480.0,2022 - 2023
2.0,78.0,450.0,2022 - 2023
2.0,78.0,300.0,2022 - 2023
