lad_name,lad_code,total_pop,asian,black,mixed,white,other,simpsons_index
Bolsover,E07000033,80270,0.008994643079606329,0.005219882895228603,0.00926871807649184,0.9735019309829326,0.003014824965740625,0.052090841286576595
Chesterfield,E07000034,103568,0.018828209485555383,0.008100957824810752,0.014463927081724086,0.954512976981307,0.0040939286266028115,0.08825888434594642
Derbyshire Dales,E07000035,71535,0.007241210596211645,0.002362479904941637,0.010106940658418957,0.9777032221989236,0.002586146641504159,0.04392955445571811
Erewash,E07000036,112908,0.01583590179615262,0.0077142452262018634,0.0181386615651681,0.9544850674885748,0.0038261239239026465,0.08830432030856683
High Peak,E07000037,90935,0.00763182492989498,0.0024523010941881565,0.013031286083466213,0.9744762742618354,0.0024083136306152744,0.05015611797682251
North East Derbyshire,E07000038,102003,0.009333058831602991,0.003176377165377489,0.011470250874974266,0.9741576228150153,0.001862690313030009,0.05078469428201038
South Derbyshire,E07000039,107206,0.035828218569856164,0.007975299889931533,0.018040035072663843,0.931253847732403,0.006902598735145421,0.13104591569464918
East Devon,E07000040,150823,0.00967359089793997,0.0023073403923804725,0.011404096192225323,0.9736379729882048,0.0029769995292495176,0.0517912794387142
Exeter,E07000041,130707,0.04877321031008286,0.008698845509421836,0.0253085144636477,0.9030426832533835,0.014176746463464084,0.18121791522073483
Mid Devon,E07000042,82853,0.006783097775578434,0.0012190264685648076,0.010850542527126356,0.9784558193426913,0.0026915138860391296,0.04245173463332674
North Devon,E07000043,98612,0.011509755405021702,0.003295744939763923,0.011905244797793372,0.9698515393664057,0.0034377154910152923,0.059091102442929366
South Hams,E07000044,88628,0.006927833190413865,0.0016811842758496186,0.011824705510673827,0.9751658618043959,0.004400415218666787,0.048841533403495396
Teignbridge,E07000045,134802,0.007447960712749069,0.0016023501134997996,0.01160220174774855,0.9767510867791279,0.0025964006468746754,0.045757922449413124
Torridge,E07000046,68114,0.005226531990486537,0.0011010952227148603,0.009249199870804827,0.9824705640543794,0.0019526088616143523,0.034633701339716105
West Devon,E07000047,57094,0.005902546677409185,0.0021368269870739483,0.010964374540231898,0.9781588257960556,0.002837425999229341,0.043037636935070456
Eastbourne,E07000061,101680,0.03485444531864673,0.012863886703383162,0.027557041699449253,0.9081628638867034,0.016561762391817468,0.1728262181967648
Hastings,E07000062,90995,0.027869663168305952,0.01386889389526897,0.02900159349414803,0.914237045991538,0.015022803450739051,0.16213478234495404
Lewes,E07000063,99909,0.01900729663994235,0.007226576184327738,0.024632415498103275,0.9418670990601448,0.007266612617481909,0.11181330742691697
Rother,E07000064,93114,0.01492793779667934,0.006024872736645402,0.01827866915823614,0.9557424232661039,0.005026097042335202,0.08593790655340594
Wealden,E07000065,160152,0.014049153304360858,0.004033668015385384,0.016915180578450473,0.960393875817973,0.004608122283830361,0.07712259598011983
Basildon,E07000066,187567,0.04262476874930025,0.047519019870233034,0.02632659263089989,0.8749726764302889,0.008556942319277911,0.2295815765986492
Braintree,E07000067,155265,0.016526583582906644,0.012166296332077416,0.019411973078285513,0.9466460567416997,0.005249090265030754,0.10303571887662544
Brentwood,E07000068,77048,0.05078652268715606,0.0226741771363306,0.030734087841345653,0.8850846225729415,0.010720589762226144,0.2124723064891615
Castle Point,E07000069,89582,0.017302583108213705,0.013161126119086423,0.016141635596436783,0.9486392355607153,0.004755419615547767,0.09932783971639458
Chelmsford,E07000070,181523,0.0531392716074547,0.026200536571123218,0.026024250370476468,0.8852927728166679,0.00934316863427775,0.21198189968751635
Colchester,E07000071,192716,0.051407252122293946,0.0345638141098819,0.029068681375703107,0.8701975964631894,0.014762655928931692,0.2378558560461025
Epping Forest,E07000072,134980,0.07169951103867239,0.029130241517261818,0.036272040302267,0.8406356497258853,0.02226255741591347,0.2855310311855137
Harlow,E07000073,93330,0.05951998285653059,0.06243437265616629,0.032658309225329474,0.8273224043715847,0.018064930890388943,0.3067040530870776
Maldon,E07000074,66211,0.011191493860536769,0.0035643624171210224,0.013547597831176088,0.9685550739303137,0.0031414719608524266,0.06156970829649755
Rochford,E07000075,85662,0.013833438397422428,0.007389507599635778,0.01671686395367841,0.9586047488968271,0.0034554411524363193,0.08053957293798686
Tendring,E07000076,148293,0.012097671501689224,0.006136500037088736,0.01613697207555313,0.9619874168032206,0.0036414395824482613,0.07412253767379895
Uttlesford,E07000077,91344,0.018851812926957437,0.007761867227185146,0.02207041513399895,0.9447363811525661,0.006579523559292345,0.10652713933881364
Cheltenham,E07000078,118836,0.04141842539297856,0.009938065905954424,0.02481571241038069,0.9135194722138072,0.010308324076879061,0.16294584164251358
Cotswold,E07000079,90830,0.01315644610811406,0.004425850489926236,0.015336342618077727,0.9634481999339425,0.0036331608499394472,0.07132648255463059
Forest of Dean,E07000080,87004,0.007183577766539469,0.0027814813112040826,0.010631695094478415,0.9754608983495012,0.0039423474782768605,0.048288120319149974
