id,lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2,status,total_pop,asian,black,mixed,white,other,simpsons_index,crime_count,pop_per_km2,lifesat,lone,worthw,indev,happy,comm1,comm2,anxious,motivex2a,motivex2b,motivex2c,motivex2d,inclus_a,inclus_b,inclus_c,VolAny,IMD10,MEMS7_ALL,MEMS7_OUT_SPORTCOUNT_A01,MEMS7_IN_SPORTCOUNT_A01,MEMS7_SPORTCOUNT_A01
147.0,E09000023,Lewisham,309.618893030638,4.81430990369928,361364.367724286,208,300553,0.0895915196321447,0.2677497812365872,0.0806945863125638,0.5148809028690448,0.0470832099496594,0.6464526251992004,553.0,9201.351241933908,6.830917874396135,3.204081632653061,7.043689320388349,3.66504854368932,6.864077669902913,3.2524271844660197,2.9901477832512318,3.932038834951456,1.718052738336714,2.020703933747412,2.9201680672268906,2.59375,2.155263157894737,2.277333333333333,2.2440944881889764,0.1432098765432098,3.9960552268244576,774.887573964497,558.760663507109,189.8388625592417,726.6676528599605
272.0,E09000030,Tower Hamlets,209.419552304503,11.7240495859615,378053.292007047,202,310306,0.444258248309733,0.0731310383943591,0.0496574349190798,0.3940175181917204,0.0389357601851076,0.6380548011262328,545.0,16926.81503458119,6.685279187817259,3.1192468619246863,6.678571428571429,3.682051282051282,6.720812182741117,3.1794871794871797,2.875,4.289340101522843,1.6842105263157894,1.96319018404908,2.890020366598778,2.526639344262295,2.2236180904522613,2.380829015544041,2.2853535353535355,0.1784037558685446,4.0,859.9742063492064,550.585396039604,254.48267326732676,830.2470238095239
59.0,E09000001,City of London,233.869822741589,10.7227199469782,37461.3687948482,96,8584,0.168336439888164,0.027027027027027,0.0547530288909599,0.6937325256290774,0.0561509785647716,0.4835167391336447,,2854.4037157869284,7.676470588235294,3.643478260869565,7.745098039215686,3.980392156862745,7.617647058823529,3.892156862745098,3.089108910891089,1.303921568627451,2.040178571428572,2.369369369369369,3.0136986301369864,2.709090909090909,2.1320754716981134,2.150326797385621,2.04375,0.0439024390243902,7.862660944206008,442.67703862660943,165.2941176470588,93.23529411764706,434.2821888412017
30.0,E09000005,Brent,442.432417381125,2.67797013748091,370964.807786618,282,339821,0.3281580596843632,0.1750774672548194,0.05075907610183,0.3463617610447853,0.0996436359142018,0.729188360824873,537.0,8067.585606679509,6.787878787878788,3.4258872651356995,6.853535353535354,3.7222222222222223,6.848484848484849,3.1155778894472363,2.872448979591837,3.909090909090909,1.7160493827160497,2.146443514644352,2.874730021598272,2.588865096359743,2.2416666666666667,2.360230547550432,2.2219020172910664,0.1399491094147582,4.26232741617357,687.319033530572,421.2204433497537,109.28817733990148,647.9847140039448
78.0,E09000009,Ealing,374.972812030634,4.13090147939811,351445.715568516,361,367116,0.3030132165310147,0.107570904019438,0.0521933121956003,0.4316428594776583,0.1055797077762887,0.6964247165458459,531.0,6803.865850873461,6.860576923076923,3.4695121951219514,7.100961538461538,3.5961538461538463,6.860576923076923,3.2451923076923075,2.9849246231155777,3.605769230769231,1.7455621301775148,2.140873015873016,2.8862275449101795,2.6467065868263475,2.203045685279188,2.272020725388601,2.2519280205655527,0.2193396226415094,5.198095238095238,702.7319047619047,496.54545454545456,117.00717703349282,641.6295238095238
107.0,E09000011,Greenwich,386.695768581251,3.72860714982791,520559.892225386,359,289065,0.1315551865497379,0.209648348987252,0.0598377527545707,0.556988912528324,0.0419697991801151,0.6231621332813617,527.0,6275.4010780484095,6.904392764857882,3.358050847457627,6.914728682170543,3.733160621761658,7.044041450777202,3.205194805194805,2.8663101604278074,3.768041237113402,1.7995802728226653,2.191737288135593,2.948202959830867,2.660998937300744,2.2222222222222223,2.379261363636364,2.271448663853727,0.168175937904269,4.568113017154389,699.8347628657922,502.0556962025317,167.0481012658228,644.4656912209889
117.0,E09000015,Harrow,660.52064055165,1.89408487868625,149499.10622071,273,261205,0.4523343733848892,0.0733178920771042,0.0376447617771482,0.3645910300338814,0.0721119427269769,0.650474221801586,495.0,5260.296586329115,6.895,3.467991169977925,7.226130653266332,3.733668341708543,7.03,3.297979797979798,2.890625,3.78894472361809,1.714902807775378,2.139689578713969,2.867415730337078,2.608108108108108,2.1300578034682083,2.2936046511627906,2.208823529411765,0.2127659574468085,6.84133611691023,576.1972860125261,347.50742574257424,99.97277227722772,507.57306889352816
196.0,E09000026,Redbridge,422.542644295894,2.53863391166486,835541.069347235,312,310261,0.4732563873641869,0.0841098301107777,0.0410493100969828,0.3480102236504104,0.053574248777642,0.6432875665409992,534.0,5672.167479333245,7.088235294117647,3.443708609271523,7.151960784313726,3.779411764705882,7.034313725490196,3.0980392156862746,2.8585858585858586,4.034313725490196,1.7130620985010707,2.0995670995670994,2.9321663019693656,2.6427015250544663,2.321022727272727,2.3649425287356323,2.3459302325581395,0.1862244897959183,6.063008130081301,632.765243902439,312.3125,117.89903846153848,585.0807926829268
280.0,E09000032,Wandsworth,375.331124921242,3.48127473971852,1458029.76188875,357,327506,0.1169871697007077,0.1009508222750117,0.0628935042411436,0.6781249809163802,0.0410435228667566,0.5106292802195311,523.0,10014.747183428053,7.180851063829787,3.3132530120481927,7.26595744680851,3.8624338624338623,7.223404255319149,3.455026455026455,2.92896174863388,3.3617021276595747,1.55,2.004016064257028,2.8615071283095723,2.484909456740443,2.0698924731182795,2.214673913043478,2.1748633879781423,0.1841432225063938,6.364356435643565,931.6222772277227,595.4031413612565,250.7984293193717,893.1569306930693
91.0,E09000010,Enfield,440.200846226838,3.55789710467859,379998.123291279,427,329985,0.1150749276482264,0.1833780323348031,0.0592693607285179,0.520884282618907,0.1213933966695455,0.6635606085282212,520.0,4329.895654777489,6.240223463687151,3.4279749478079333,6.776536312849162,3.6089385474860336,6.446927374301676,2.966292134831461,2.8411764705882354,3.3184357541899443,1.8212765957446808,2.2965367965367967,2.8344086021505377,2.728448275862069,2.2225705329153604,2.3026315789473686,2.343949044585987,0.2175141242937853,5.142,688.553,560.957182320442,140.76795580110496,622.329
136.0,E09000020,Kensington and Chelsea,355.671749487471,4.68679997382737,670460.532739405,150,143373,0.1187462074449164,0.0786689265063854,0.0664351028436316,0.6374561458573093,0.0986936173477572,0.5592061473334973,503.0,13398.6989291417,7.034090909090909,3.4098712446351933,7.477272727272727,3.7329545454545454,7.1875,3.340909090909091,2.941860465116279,3.72,1.6033755274261603,2.093681917211329,2.9295154185022025,2.597374179431072,2.0922619047619047,2.293939393939394,2.1707317073170733,0.1538461538461538,5.093877551020408,746.0607142857143,485.2780898876405,182.43960674157304,708.4051020408164
255.0,E09000029,Sutton,429.836325363215,3.13754417187332,493396.994808434,297,209636,0.1754803564273311,0.0594602072163178,0.0484744986548111,0.6828264229426244,0.0337585147589154,0.4959297900587464,478.0,4908.616171316333,7.129411764705883,3.415555555555556,7.366863905325443,3.603550295857988,7.3,3.2366863905325443,2.904191616766467,3.798816568047337,1.7977777777777777,2.2448979591836733,2.9907834101382487,2.7442922374429224,2.170886075949367,2.264900662251656,2.186046511627907,0.1799410029498525,7.223427331887201,702.9240780911063,469.1856725146199,230.29239766081872,627.9853579175705
279.0,E09000031,Waltham Forest,427.88088834558,4.32635257487954,311559.389027229,263,278428,0.1994950220523798,0.1495790653238898,0.0645876133147528,0.5280503397646789,0.0582879595442987,0.6514216320460253,529.0,7609.546525283999,6.901869158878505,3.411067193675889,7.028436018957346,3.643192488262911,6.94392523364486,3.300469483568075,2.888888888888889,3.615023474178404,1.7475728155339805,2.106930693069307,2.929718875502008,2.762948207171315,2.2262210796915167,2.382978723404255,2.3229166666666665,0.1750599520383693,4.318095238095238,769.7647619047619,531.9768518518518,128.4375,708.8861904761904
