lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2
E07000032,Amber Valley,794.094545294656,1.92063043521785,541161.4481685
E07000033,Bolsover,1160.56130560288,1.10335624578704,267498.435758014
E07000034,Chesterfield,856.098463931784,1.5343788199256,223129.517791702
E07000035,Derbyshire Dales,2594.00311927282,1.41378749736319,212979.607623159
E07000036,Erewash,827.712715208479,1.58626689124452,683889.658286274
E07000037,High Peak,1065.47183548445,1.45602273626291,127237.138451225
E07000038,North East Derbyshire,1258.38614316681,1.20945703586878,455948.530355352
E07000039,South Derbyshire,1159.2786117475,1.73396518762418,140593.515964121
E07000129,Blaby,1448.02606985702,1.24757485421785,136680.805769349
E07000130,Charnwood,815.072342210403,1.45422910562075,405300.673323099
E07000131,Harborough,2830.42508045133,1.15328569728038,119832.619980899
E07000132,Hinckley and Bosworth,1165.31259301576,1.51643485727684,455396.837695453
E07000133,Melton,2077.97218681358,1.59846447788858,197110.780851188
E07000134,North West Leicestershire,1299.87454581446,1.46064333525863,141371.107682431
E07000135,Oadby and Wigston,688.323175123496,1.59391239211887,183845.705746065
E07000136,Boston,1656.55671825017,1.16062011385528,144440.665733626
E07000137,East Lindsey,2899.48732751561,1.09032123771507,73350.3683059672
E07000138,Lincoln,584.275628716238,2.19733235773263,279913.306627639
E07000139,North Kesteven,2151.10947804785,1.08324483639473,51929.22102857
E07000140,South Holland,2254.13684588603,1.04427350771523,16352.2490860341
E07000141,South Kesteven,1764.8779964133,1.7049275853291,100915.1173749
E07000142,West Lindsey,2921.46800945919,1.20068722192886,130571.079455642
E07000150,Corby,838.683471963825,1.24923664395091,312355.690597811
E07000151,Daventry,1877.94155372489,1.27395453135131,312872.237796044
E07000152,East Northamptonshire,1082.79294387942,1.25977815307875,457297.334594104
E07000153,Kettering,1083.926464275,1.66514602338959,235100.440793485
E07000154,Northampton,931.711030468823,1.44391552551385,292428.719484929
E07000155,South Northamptonshire,2379.09268221434,1.01461488955266,245773.306087719
E07000156,Wellingborough,1184.5892678146,1.95730820099116,356652.465308678
E07000170,Ashfield,792.108488372168,1.46350734398181,361602.125301446
E07000171,Bassetlaw,2435.79396948547,1.25500594575609,90669.4313370206
E07000172,Broxtowe,712.894902211777,1.37816034744446,232985.316256446
E07000173,Gedling,1049.96808784917,1.41975273270308,651750.949542529
E07000174,Mansfield,686.485450616513,2.83115037162516,121251.264254235
E07000175,Newark and Sherwood,2465.12216649041,1.61528005527726,256393.313575662
E07000176,Rushcliffe,1998.81234149281,1.34569713529416,384527.291076765
E06000015,Derby,599.591817953372,1.66539106341104,230354.213572135
E06000016,Leicester,422.836859877829,3.49202310244831,376104.753079496
E06000017,Rutland,2535.04870799937,1.23453639971528,4564850.03067871
E06000018,Nottingham,469.007412979799,3.21867319919259,432636.925599718
E07000192,Cannock Chase,661.744823338784,1.48550884732572,2221780.61334339
E07000193,East Staffordshire,2092.81693936977,1.22678290333445,169170.965984645
E07000194,Lichfield,1143.75549617881,1.50887648665275,597587.566085667
E07000195,Newcastle-under-Lyme,763.360326130207,4.02088255236189,535313.999385458
E07000196,South Staffordshire,1431.70028746392,1.09977825164499,185177.676992891
E07000197,Stafford,1501.42082370253,1.34543962232235,1618165.84446635
E07000198,Staffordshire Moorlands,1118.35009922986,1.7895492534998,335244.776430133
E07000199,Tamworth,676.482703261345,1.20361025685641,291518.21870928
E07000218,North Warwickshire,1620.92096046607,1.03350522517831,713363.015033209
E07000219,Nuneaton and Bedworth,936.100196626045,1.44367409604348,190370.706427023
E07000220,Rugby,1364.23632547868,1.48347369994266,292131.258009955
E07000221,Stratford-on-Avon,2336.27324343099,1.57212666898434,176905.56897141
E07000222,Warwick,717.816217288588,2.3318245255376,382250.358135212
E07000234,Bromsgrove,1284.03254061579,1.24546723600156,712047.513295456
E07000235,Malvern Hills,1648.70460474944,2.78182699109425,241097.892922678
E07000236,Redditch,763.641288464656,1.49585484457269,978981.902623107
E07000237,Worcester,592.602278893237,1.67854380501016,121882.630018921
E07000238,Wychavon,1305.46212974331,2.13782348426345,74815.6489791535
E07000239,Wyre Forest,691.738443996242,2.44158936363589,101631.017923475
E08000025,Birmingham,521.057762443942,2.41585444705646,978997.109456822
E08000026,Coventry,666.733898145386,2.29962850933798,245468.610907082
E08000027,Dudley,634.177670633577,1.67618915580615,194151.71789956
E08000028,Sandwell,461.938662384745,2.03911583223181,310377.212809954
E08000029,Solihull,1151.90840100309,1.3695690189304,593338.032361023
E08000030,Walsall,718.104466692542,1.84998048828244,871654.53489879
E08000031,Wolverhampton,702.315172433792,1.46453685386357,107733.052911087
E06000019,"Herefordshire, County of",1508.4763958621,2.13419390251575,161084.462878119
E06000020,Telford and Wrekin,484.626462734821,4.11168770956747,240428.343403411
E06000021,Stoke-on-Trent,279.599305552916,5.61882139462711,974633.865990565
E06000051,Shropshire,3163.06806946065,1.23337474343001,110682.674281403
E07000008,Cambridge,720.371312390959,3.65122469032769,385040.959060909
E07000009,East Cambridgeshire,3346.44660963638,1.42063458390472,80080.2693588885
E07000010,Fenland,3998.79937268091,1.04952451447465,44699.7309159763
E07000011,Huntingdonshire,1784.35329925195,1.59019625493614,178409.634530104
