serial,year,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
161090268203581.0,2016/17,2,0,2,1,0,0,7,0,1,4,0,3
161090268204482.0,2016/17,5,1,0,1,2,0,9,3,0,0,1,4
161090268208681.0,2016/17,5,0,0,1,0,1,5,3,0,3,2,2
161090268210381.0,2016/17,2,1,0,1,0,0,9,7,1,4,2,4
161090278215381.0,2016/17,5,0,0,0,0,0,7,3,0,0,1,3
161090278215582.0,2016/17,2,1,1,1,0,1,5,0,0,0,2,1
161090288230482.0,2016/17,6,0,0,0,5,4,1,3,0,0,2,2
161090288231981.0,2016/17,4,0,0,1,0,0,1,3,0,3,1,3
161090288231982.0,2016/17,3,1,0,1,0,0,1,7,0,3,2,3
161090288232381.0,2016/17,2,1,6,1,0,0,0,4,1,7,0,0
161090288235681.0,2016/17,2,0,2,1,0,0,7,1,0,3,0,3
161090288235682.0,2016/17,2,1,1,1,0,0,7,0,0,1,0,4
161090288239281.0,2016/17,2,1,0,0,0,0,4,0,0,3,1,3
161090288239282.0,2016/17,2,0,0,1,0,0,4,0,0,3,1,4
161090298246081.0,2016/17,4,1,0,0,2,1,9,3,0,3,1,3
161090298246082.0,2016/17,4,0,0,1,0,0,9,3,0,3,2,4
161090298248781.0,2016/17,4,0,0,1,3,2,4,0,0,5,2,2
161090298248782.0,2016/17,4,1,0,1,3,1,4,4,0,5,1,4
161090298249081.0,2016/17,4,1,0,1,0,2,3,1,0,2,0,4
161090298250282.0,2016/17,5,1,0,1,2,1,9,3,0,5,3,4
161090298251381.0,2016/17,4,1,3,1,0,1,4,0,0,0,2,2
161090298251681.0,2016/17,4,1,1,1,2,0,4,0,0,5,0,3
161090298251682.0,2016/17,4,0,1,1,5,1,4,1,0,5,0,3
161090298251781.0,2016/17,5,1,0,1,2,1,4,3,0,3,1,4
161090298252881.0,2016/17,0,1,5,1,1,3,2,6,0,8,0,4
