Age9,Educ6,Eth7,Gend3,HHLiv12,IMD10,NSSEC5,WorkStat10,MEMS7_ALL,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,LOG_MEMS7_ALL,active,labels_2d,labels_6d,labels_10d
4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,480.0,1.0,3.0,3.0,4.0,6.0,5.0,2.0,7.0,6.175867270105761,True,2,2,2
5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,60.0,3.0,4.0,4.0,2.0,5.0,5.0,1.0,5.0,4.110873864173311,False,1,1,1
3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,5.0,4.0,3.0,7.0,5.0,3.0,8.0,0.0,False,1,1,1
5.0,6.0,4.0,2.0,1.0,2.0,3.0,4.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,False,3,3,3
6.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,300.0,2.0,3.0,3.0,4.0,8.0,8.0,4.0,8.0,5.707110264748875,True,0,0,0
4.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,270.0,2.0,4.0,2.0,4.0,8.0,9.0,4.0,8.0,5.602118820879701,True,0,0,0
6.0,1.0,3.0,2.0,5.0,8.0,1.0,1.0,130.0,2.0,4.0,2.0,4.0,9.0,8.0,4.0,7.0,4.875197323201151,False,2,2,2
6.0,1.0,6.0,1.0,7.0,9.0,1.0,10.0,0.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,7.0,0.0,False,0,0,0
3.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,960.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,6.0,6.8679744089702925,True,2,2,2
2.0,2.0,3.0,2.0,10.0,3.0,4.0,8.0,0.0,1.0,4.0,1.0,4.0,7.0,8.0,4.0,8.0,0.0,False,3,3,3
4.0,1.0,1.0,2.0,5.0,7.0,1.0,1.0,1380.0,1.0,4.0,1.0,4.0,10.0,10.0,4.0,9.0,7.2305631534092925,True,1,1,1
4.0,1.0,6.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,8.0,8.0,3.0,8.0,0.0,False,0,0,0
6.0,3.0,1.0,1.0,10.0,5.0,3.0,1.0,0.0,4.0,4.0,3.0,2.0,9.0,7.0,5.0,8.0,0.0,False,0,0,0
5.0,1.0,5.0,2.0,10.0,5.0,1.0,1.0,2340.0,2.0,4.0,1.0,2.0,8.0,7.0,5.0,8.0,7.75833346749091,True,2,2,2
2.0,3.0,4.0,2.0,10.0,7.0,4.0,8.0,180.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,5.198497031265826,True,3,3,3
5.0,1.0,2.0,2.0,5.0,6.0,1.0,1.0,900.0,2.0,4.0,2.0,4.0,10.0,8.0,4.0,8.0,6.803505257608338,True,2,2,2
4.0,1.0,1.0,1.0,10.0,4.0,1.0,1.0,2632.5,1.0,5.0,2.0,5.0,10.0,10.0,3.0,10.0,7.876069038923444,True,0,0,0
4.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,105.0,1.0,5.0,2.0,4.0,5.0,7.0,4.0,8.0,4.663439094112067,False,0,0,0
