Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
5.0,1.0,9.0,1.0,1.0,5.0,1.0,3.0,10.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.8579762780903176,0.8481075846352226,-0.009868693455095001,,,,,,,0.8579762780903176,0.8475044858402311,-0.010471792250086542,0.8579762780903176,0.8572440047839499,-0.0007322733063677145
6.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,10.0,10.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.706260312679774,0.7388488653445638,0.03258855266478988,0.706260312679774,0.740279082577391,0.034018769897616985,0.706260312679774,0.6896626416797319,-0.016597671000042058,,,,,,,,,,,,
4.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,8.0,7.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.9225830780511604,0.9167681647224091,-0.005814913328751281,0.9225830780511604,0.928281205434542,0.0056981273833816015,0.9225830780511604,0.9286832649503253,0.006100186899164917,0.9225830780511604,0.9164108178008669,-0.006172260250293493,,,
5.0,1.0,7.0,1.0,2.0,3.0,3.0,4.0,7.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805702153470159,0.8344090767039136,0.05383886135689775,0.7805702153470159,0.8071655227167042,0.026595307369688292,0.7805702153470159,0.8083186623583427,0.027748447011326838,0.7805702153470159,0.7667848923402412,-0.013785323006774708,0.7805702153470159,0.7943914498048641,0.01382123445784822,0.7805702153470159,0.7953786491164029,0.014808433769387008,,,,0.7805702153470159,0.7795413877346827,-0.0010288276123331386
5.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332655500306945,0.6180949336148969,0.08482938358420233,,,,0.5332655500306945,0.575270707540157,0.04200515750946243,0.5332655500306945,0.513624556219104,-0.019640993811590568,0.5332655500306945,0.5537586215014983,0.020493071470803814,0.5332655500306945,0.555254345800648,0.021988795769953495,0.5332655500306945,0.5124568346647477,-0.02080871536594686,0.5332655500306945,0.5317727426036171,-0.0014928074270774694
3.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,8.0,9.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.9269765264032431,0.9376888014861043,0.010712275082861211,0.9269765264032431,0.9214635205111212,-0.005513005892121892,0.9269765264032431,0.9323749852775226,0.005398458874279477,0.9269765264032431,0.9327557573215414,0.005779230918298239,,,,,,
3.0,1.0,3.0,1.0,3.0,4.0,5.0,2.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436566507709631,0.718994941407402,0.07533829063643893,0.6436566507709631,0.6800441846306904,0.03638753385972726,0.6436566507709631,0.681657692022368,0.03800104125140491,0.6436566507709631,0.6253978249299159,-0.01825882584104721,0.6436566507709631,0.6623715292143397,0.018714878443376604,0.6436566507709631,0.6637242759931903,0.02006762522222716,0.6436566507709631,0.6243021656962134,-0.019354485074749683,0.6436566507709631,0.6422800723351949,-0.0013765784357682165
5.0,1.0,10.0,1.0,2.0,2.0,2.0,4.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8510318200648656,0.8900182711875985,0.03898645112273291,0.8510318200648656,0.8705038414350125,0.01947202137014692,0.8510318200648656,0.8713385953183943,0.020306775253528753,0.8510318200648656,0.8407701366647563,-0.010261683400109245,0.8510318200648656,0.861204052439426,0.010172232374560441,0.8510318200648656,0.8619262177474513,0.01089439768258571,0.8510318200648656,0.840143395375163,-0.010888424689702525,0.8510318200648656,0.8502699898038693,-0.000761830260996299
7.0,1.0,10.0,2.0,2.0,4.0,2.0,4.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8176986767431562,0.8640148080615644,0.04631613131840817,0.8176986767431562,0.8407122486290476,0.02301357188589137,0.8176986767431562,0.8417041224940747,0.024005445750918453,0.8176986767431562,0.8056651692781565,-0.01203350746499976,0.8176986767431562,0.8296915483276579,0.011992871584501685,0.8176986767431562,0.8305454135579371,0.01284673681478088,0.8176986767431562,0.804932310365626,-0.012766366377530258,0.8176986767431562,0.8168030747698158,-0.0008956019733403764
3.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,7.0,6.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8239306154374003,0.8463053433605853,0.022374727923184956,0.8239306154374003,0.8472687165412516,0.02333810110385126,0.8239306154374003,0.8122140009660177,-0.011716614471382614,0.8239306154374003,0.835595941006934,0.011665325569533702,0.8239306154374003,0.8364260398813066,0.012495424443906278,0.8239306154374003,0.811500060279867,-0.01243055515753333,0.8239306154374003,0.8230590044954681,-0.0008716109419322216
