Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
5.0,1.0,9.0,1.0,1.0,5.0,1.0,3.0,10.0,10.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8579762780903176,0.8317835519616346,-0.026192726128683064,0.8579762780903176,0.8463554469589811,-0.011620831131336495,,,,,,,0.8579762780903176,0.8490230324136275,-0.008953245676690091,0.8579762780903176,0.8576178594624524,-0.00035841862786523127
6.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,10.0,10.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.706260312679774,0.6630751215633404,-0.0431851911164336,0.706260312679774,0.6867578363734163,-0.019502476306357708,,,,,,,,,,,,
4.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,8.0,7.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9225830780511604,0.9070141241002487,-0.015568953950911624,0.9225830780511604,0.9157293551235526,-0.006853722927607775,0.9225830780511604,0.9254112948918517,0.0028282168406913444,0.9225830780511604,0.9257807313768647,0.0031976533257043194,0.9225830780511604,0.9173101452490117,-0.005272932802148689,,,
5.0,1.0,7.0,1.0,2.0,3.0,3.0,4.0,7.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805702153470159,0.7443554692460603,-0.03621474610095554,0.7805702153470159,0.7643553117180689,-0.016214903628946953,0.7805702153470159,0.7873909000849615,0.006820684737945615,0.7805702153470159,0.788287554512486,0.007717339165470127,,,,0.7805702153470159,0.7800665256291129,-0.0005036897179029332
5.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332655500306945,0.4832556191515599,-0.050009930879134634,0.5332655500306945,0.5102421379738746,-0.023023412056819903,0.5332655500306945,0.543275501855189,0.01000995182449449,0.5332655500306945,0.544606248886112,0.011340698855417441,0.5332655500306945,0.5154040541414445,-0.017861495889250012,0.5332655500306945,0.5325341530048034,-0.0007313970258910896
3.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,8.0,9.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9269765264032431,0.9122070400643092,-0.014769486338933935,0.9269765264032431,0.9204782300061126,-0.00649829639713051,0.9269765264032431,0.9296564782812394,0.0026799518779963005,0.9269765264032431,0.9300064787771944,0.0030299523739513168,,,,,,
3.0,1.0,3.0,1.0,3.0,4.0,5.0,2.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6436566507709631,0.6222209925505504,-0.021435658220412712,0.6436566507709631,0.652840350056685,0.009183699285721825,0.6436566507709631,0.6540551427890723,0.010398492018109162,0.6436566507709631,0.6270653066552297,-0.016591344115733375,0.6436566507709631,0.6429824276704386,-0.0006742231005245625
5.0,1.0,10.0,1.0,2.0,2.0,2.0,4.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8510318200648656,0.8238213503469869,-0.02721046971787866,0.8510318200648656,0.8389494313793597,-0.012082388685505818,0.8510318200648656,0.8560661636428866,0.005034343578021017,0.8510318200648656,0.8567258892940972,0.0056940692292316575,0.8510318200648656,0.8417215538362054,-0.009310266228660158,0.8510318200648656,0.8506589265399312,-0.0003728935249343035
7.0,1.0,10.0,2.0,2.0,4.0,2.0,4.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8176986767431562,0.7859311216594548,-0.03176755508370144,0.8176986767431562,0.803536854827712,-0.01416182191544424,0.8176986767431562,0.8236260448715481,0.005927368128391897,0.8176986767431562,0.8244039615851309,0.006705284841974635,0.8176986767431562,0.806778137545957,-0.010920539197199264,0.8176986767431562,0.81726026107171,-0.00043841567144620175
3.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,7.0,6.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8239306154374003,0.7929740819054404,-0.03095653353195993,0.8239306154374003,0.8101405063948615,-0.013790109042538856,0.8239306154374003,0.829697558536755,0.00576694309935466,0.8239306154374003,0.8304542087223502,0.006523593284949891,0.8239306154374003,0.8132981550519904,-0.010632460385409881,0.8239306154374003,0.8235039520267521,-0.00042666341064823143
